Customer ID,Gender,Age,Married,Number of Dependents,City,Zip Code
4815-YOSUK,Male,22,Yes,2,Aliso Viejo,92656
8747-UDCOI,Female,29,Yes,0,Sun City,92587
6797-UCJHZ,Female,74,Yes,0,Simi Valley,93065
5261-QSHQM,Female,31,No,0,Temecula,92592
5989-PGKJB,Female,40,No,0,San Diego,92121
9708-KFDBY,Male,29,No,0,Oceanside,92054
5443-SCMKX,Female,49,Yes,0,Newbury Park,91320
5550-VFRLC,Female,70,No,0,Moorpark,93021
4946-EDSEW,Female,35,Yes,3,Compton,90221
9728-FTTVZ,Female,44,No,0,Williams,95987
0604-THJFP,Female,40,Yes,0,Castro Valley,94552
9851-KIELU,Male,53,No,0,Loma Mar,94021
7579-KKLOE,Male,59,Yes,0,Earlimart,93219
1820-TQVEV,Male,27,No,0,Madera,93638
2003-CKLOR,Male,62,No,0,Igo,96047
2452-MRMZF,Female,70,Yes,0,Inglewood,90303
5324-KTGCG,Male,55,Yes,0,Emeryville,94608
4567-AKPIA,Female,28,Yes,2,Canyon Dam,95923
2971-SGAFL,Female,34,No,0,Millbrae,94030
0613-WUXUM,Female,38,Yes,3,Soquel,95073
6181-AXXYF,Male,54,Yes,2,Pico Rivera,90660
5110-CHOPY,Female,61,No,0,Carlsbad,92009
2408-PSJVE,Male,41,Yes,3,Chino Hills,91709
4983-CCWMC,Male,43,No,0,Creston,93432
2523-EWWZL,Female,26,Yes,0,Blythe,92225
5453-AXEPF,Male,31,Yes,0,San Jose,95134
8189-XRIKE,Female,80,No,0,Newark,94560
1116-DXXDF,Male,38,No,0,Porter Ranch,91326
3146-JTQHR,Male,23,Yes,0,San Bruno,94066
0733-VUNUW,Male,43,No,0,San Francisco,94114
6595-COKXZ,Female,63,No,0,Plymouth,95669
9432-VOFYX,Male,26,No,0,Delano,93215
6481-OGDOO,Male,31,Yes,0,San Diego,92129
0207-MDKNV,Female,54,No,0,Daly City,94014
3866-MDTUB,Female,64,No,0,Los Angeles,90017
6648-INWPS,Male,30,Yes,3,San Bernardino,92410
0362-ZBZWJ,Male,46,No,0,Thornton,95686
3389-KTRXV,Female,61,Yes,3,Ravendale,96123
1057-FOGLZ,Female,44,No,0,Calimesa,92320
9522-ZSINC,Male,34,No,0,Santa Rosa,95409
6728-CZFEI,Female,28,No,0,Sacramento,95819
5681-LLOEI,Male,59,Yes,1,Encino,91316
0423-UDIJQ,Male,74,No,0,Snelling,95369
0799-DDIHE,Female,24,Yes,3,Grenada,96038
5248-KWLAR,Male,31,Yes,0,Niland,92257
0357-NVCRI,Female,41,No,3,El Cajon,92021
5222-JCXZT,Male,31,No,0,Sacramento,95864
3097-NNSPB,Female,42,No,0,Valley Ford,94972
3506-LCJDC,Male,52,Yes,3,Modesto,95358
6599-GZWCM,Female,39,No,0,San Jose,95129
1104-TNLZA,Male,67,Yes,0,Klamath River,96050
9639-BUJXT,Male,50,No,0,Santee,92071
0620-XEFWH,Male,41,Yes,1,Oak Run,96069
5676-CFLYY,Male,30,Yes,0,Ahwahnee,93601
0675-NCDYU,Female,61,Yes,2,Placentia,92870
9618-LFJRU,Female,31,No,0,Inglewood,90303
9979-RGMZT,Female,20,No,0,Los Angeles,90022
5140-FOMCQ,Female,52,Yes,0,Oakland,94602
3134-DSHVC,Female,49,No,0,Stockton,95205
5348-CAGXB,Male,60,No,0,Irvine,92614
9578-VRMNM,Female,48,No,0,Summerland,93067
3452-FLHYD,Male,47,Yes,0,Lucerne,95458
6549-BTYPG,Female,19,Yes,0,Sebastopol,95472
9667-EQRXU,Female,74,No,0,Boron,93516
3090-QFUVD,Female,48,No,0,Reedley,93654
9846-GKXAS,Female,53,No,0,Burlingame,94010
9867-JCZSP,Female,28,Yes,0,Los Angeles,90045
3733-LSYCE,Female,22,Yes,0,Samoa,95564
7815-PDTHL,Male,64,No,0,Van Nuys,91401
9825-YCXWZ,Female,69,No,0,Loma Mar,94021
6198-ZFIOJ,Female,50,No,0,Willits,95490
2226-ICFDO,Female,39,Yes,0,Covelo,95428
7026-YMSBE,Male,62,No,0,Berkeley,94704
9732-EQMWY,Female,20,Yes,0,Concord,94518
5562-BETPV,Male,21,Yes,0,San Andreas,95249
2828-SLQPF,Male,53,No,0,San Marino,91108
2616-UUTFK,Male,54,Yes,0,Bakersfield,93313
2235-ZGKPT,Female,36,Yes,1,Los Angeles,90062
6458-CYIDZ,Female,72,No,0,Albion,95410
3002-WQZWT,Female,25,No,0,Murrieta,92563
9708-HPXWZ,Male,74,No,0,El Sobrante,94803
9722-UJOJR,Male,36,Yes,0,Blairsden Graeagle,96103
